Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Asymmetry Finance,https://www.crunchbase.com/funding_round/asymmetry-finance-seed--12eefcbe,Seed,3000000,USD,3000000,2023-05-16,3,1,Asymmetry Finance offers DeFi native staked Ethereum Indices that earns market leading yield.,"Blockchain, Finance, Financial Services",,,https://www.asymmetry.finance/,Asymmetry Finance,https://www.crunchbase.com/organization/asymmetry-finance
Seed Round - Loro Insurtech Inc.,https://www.crunchbase.com/funding_round/loro-insurtech-inc-seed--a876bd33,Seed,750000,USD,750000,2023-06-01,2,3,Insurtech for Specialty Insurance,"Insurance, InsurTech, Software","Dover, Delaware, United States, North America",,https://www.loroinsurance.com,Loro Insurtech Inc.,https://www.crunchbase.com/organization/loro-insurtech-inc
Seed Round - Vault,https://www.crunchbase.com/funding_round/vault-13fc-seed--fcdee95a,Seed,5000000,CAD,3709900,2023-05-16,4,1,Vault is a banking platform that integrates multi-currency-based accounts to assist transfers.,Financial Services,"Toronto, Ontario, Canada, North America",,https://tryvault.com,Vault,https://www.crunchbase.com/organization/vault-13fc
Seed Round - Sixfold AI,https://www.crunchbase.com/funding_round/sixfold-ai-seed--e3954cd2,Seed,6500000,USD,6500000,2023-05-24,2,1,Sixfold AI is a generative artificial intelligence developed and educated to handle the most difficult problems in the insurance industry.,"Artificial Intelligence, InsurTech, Productivity Tools","New York, New York, United States, North America",,https://www.sixfold.ai,Sixfold AI,https://www.crunchbase.com/organization/sixfold-ai
Seed Round - MoHash,https://www.crunchbase.com/funding_round/mohash-seed--17016a0e,Seed,,,,2023-05-30,1,3,"MoHash is a decentralized finance (Defi) protocol that harnesses crypto assets (namely, stablecoins) for providing access to global capital.","Bitcoin, Cryptocurrency, Financial Services, FinTech","Bangalore, Karnataka, India, Asia",,https://www.mohash.co/,MoHash,https://www.crunchbase.com/organization/mohash
Pre Seed Round - NAO,https://www.crunchbase.com/funding_round/nao-64a3-pre-seed--86ba6e24,Pre-Seed,1600000,EUR,1709904,2023-06-06,6,1,NAO is the gate to bespoke and inaccessible investment products. The solution empowers everybody to invest like a professional investor.,Financial Services,"Berlin, Berlin, Germany, Europe",,https://www.investnao.com,NAO,https://www.crunchbase.com/organization/nao-64a3
Seed Round - Tilta,https://www.crunchbase.com/funding_round/tilta-2ea3-seed--174a9f09,Seed,4000000,EUR,4274760,2023-06-06,5,2,Building brings frictionless payment terms to B2B marketplaces and merchants.,"Financial Services, Information Technology","Berlin, Berlin, Germany, Europe",,https://tilta.io/,Tilta,https://www.crunchbase.com/organization/tilta-2ea3
Seed Round - Wellthi,https://www.crunchbase.com/funding_round/wellthi-seed--78e271b0,Seed,,,,2023-05-25,1,3,Wellthi offers B2B embedded social finance software to assist financial institutions in turning one consumer into a community of customers.,"Banking, Financial Services, FinTech, Wealth Management","Arlington, Virginia, United States, North America",$1M to $10M,https://wellthiapp.com,Wellthi,https://www.crunchbase.com/organization/wellthi
Pre Seed Round - Covrzy,https://www.crunchbase.com/funding_round/covrzy-pre-seed--7609d98d,Pre-Seed,32000000,INR,386049,2023-05-23,2,1,Covrzy enables business owners to evaluate and acquire insurance coverage for their companies.,"Insurance, Service Industry","Bengaluru, Karnataka, India, Asia",,https://www.covrzy.com,Covrzy,https://www.crunchbase.com/organization/covrzy
Seed Round - Hourglass,https://www.crunchbase.com/funding_round/hourglass-seed--154f76c2,Seed,4200000,USD,4200000,2023-05-15,5,1,Hourglass is an operator of a financial marketplace intended to trade locked-up DeFi assets.,"Blockchain, Cryptocurrency, Finance","New York, New York, United States, North America",,http://www.hourglassx.com/,Hourglass,https://www.crunchbase.com/organization/hourglass
Seed Round - Hands In,https://www.crunchbase.com/funding_round/hands-in-seed--feecac90,Seed,550000,USD,550000,2023-05-15,,2,Building the first payment method enabling groups to checkout online.,"E-Commerce, Financial Services, Mobile Payments, Payments","London, England, United Kingdom, Europe",,http://www.handsin.co.uk,Hands In,https://www.crunchbase.com/organization/hands-in
Seed Round - cocafe,https://www.crunchbase.com/funding_round/cocafe-seed--057faa27,Seed,,,,2023-06-06,3,1,"cocafe possesses comprehensive competencies in creative planning, technological research and development, and operational management.","Blockchain, Cryptocurrency","Xuhui, Shanghai, China, Asia",,https://cocafe.co/,cocafe,https://www.crunchbase.com/organization/cocafe
Seed Round - Ownify,https://www.crunchbase.com/funding_round/ownify-seed--74814b2b,Seed,7000000,USD,7000000,2023-05-15,3,1,Homeownership reimagined for you,"Financial Services, Real Estate","San Francisco, California, United States, North America",,https://www.ownify.com,Ownify,https://www.crunchbase.com/organization/ownify
Seed Round - EdfaPay,https://www.crunchbase.com/funding_round/edfapay-seed--714b5bc9,Seed,3200000,USD,3200000,2023-06-01,4,2,Edfapay is a fintech enterprise that provides smart & efficient payment solutions.,"Financial Services, FinTech, Information Technology, Payments","Riyadh, Ar Riyad, Saudi Arabia, Asia",,https://edfapay.com/,EdfaPay,https://www.crunchbase.com/organization/edfapay
Seed Round - APPROVE,https://www.crunchbase.com/funding_round/approve-27e5-seed--f9b44196,Seed,3000000,USD,3000000,2023-06-01,3,1,"APPROVE is an internal, custom-branded lending programme that shows reasonable monthly payments at Every point of sale.","B2B, Finance, Financial Services, FinTech, SaaS","Wilmington, North Carolina, United States, North America",,https://www.approvepayments.com,APPROVE,https://www.crunchbase.com/organization/approve-27e5
Seed Round - Boom,https://www.crunchbase.com/funding_round/boom-1f1d-seed--b967aaca,Seed,4500000,USD,4500000,2023-05-31,6,3,Boom provides financial solutions to produce credit and rent payments.,"Financial Services, FinTech, Mobile Payments","New York, New York, United States, North America",,https://boompay.app,Boom,https://www.crunchbase.com/organization/boom-1f1d
Seed Round - Axis,https://www.crunchbase.com/funding_round/axis-pay-seed--057a0ad9,Seed,8250000,USD,8250000,2023-05-17,7,1,Axis offers a digital banking platform for small businesses and their employees.,"Financial Services, FinTech","Cairo, Al Qahirah, Egypt, Africa",,https://axisapp.com/,Axis,https://www.crunchbase.com/organization/axis-pay
Seed Round - Airbag Technologies,https://www.crunchbase.com/funding_round/airbag-technologies-seed--5b63682c,Seed,700000,USD,700000,2023-06-02,1,3,SaaS and Mobile telematics app focused on reducing transit accidents caused by the driver’s behavior,"Big Data, Information Technology, Insurance, InsurTech, Logistics, Software, Transportation","Mexico City, Distrito Federal, Mexico, North America",,https://airbagtech.io/,Airbag Technologies,https://www.crunchbase.com/organization/airbag-technologies
Seed Round - Fumopay,https://www.crunchbase.com/funding_round/fumopay-seed--3ccc195d,Seed,,,,2023-06-05,1,1,"Fumopay is a fintech firm that offers mobile payment, transaction processing, credit, and mobile banking.","Banking, Financial Services, FinTech, Mobile Payments, Payments, Transaction Processing","London, England, United Kingdom, Europe",$1M to $10M,https://www.fumopay.com/,Fumopay,https://www.crunchbase.com/organization/fumopay
Pre Seed Round - Finteq,https://www.crunchbase.com/funding_round/finteq-9937-pre-seed--aa6dbbbd,Pre-Seed,,,,2023-06-01,1,1,Finteq is a technological platform that manages financial liquidity in supply chains using the capital available in the chain.,"FinTech, Payments, Supply Chain Management","Katowice, Slaskie, Poland, Europe",,https://finteq.net,Finteq,https://www.crunchbase.com/organization/finteq-9937
Pre Seed Round - LedgiFi,https://www.crunchbase.com/funding_round/krypto-ledgers-pre-seed--bb9b6d83,Pre-Seed,,,,2023-05-24,1,5,"Formerly Krypto Ledgers, LedgiFi is the first Cryptocurrency Tax & Portfolio Tracker for LatAm","Accounting, Bitcoin, Cryptocurrency, Ethereum, Financial Services, FinTech, Software","Santiago, Region Metropolitana, Chile, South America",,https://ledgifi.com,LedgiFi,https://www.crunchbase.com/organization/krypto-ledgers
Seed Round - Invera,https://www.crunchbase.com/funding_round/invera-57e5-seed--86639251,Seed,,,,2023-05-24,1,1,Invera is a fintech company that provides technological and consulting services to businesses with software and artificial intelligence.,"Artificial Intelligence, Financial Services, FinTech, Software","Córdoba, Cordoba, Argentina, South America",,https://invera.io,Invera,https://www.crunchbase.com/organization/invera-57e5
Seed Round - Kairos Loan,https://www.crunchbase.com/funding_round/kairos-loan-seed--98ad9a3f,Seed,1000000,USD,1000000,2023-05-22,8,1,Kairos Loan is a lending protocol allowing you to borrow instantly using an NFT as collateral and with the best rates on the market.,"Blockchain, Cryptocurrency, Finance",,,https://www.kairos.loan/,Kairos Loan,https://www.crunchbase.com/organization/kairos-loan
Seed Round - Bonside,https://www.crunchbase.com/funding_round/bonside-seed--c1dd28b6,Seed,4350000,USD,4350000,2023-06-07,4,1,Bonside is a financial services provider that connects businesses with funding opportunities.,"Business Development, Finance, Financial Services","Chicago, Illinois, United States, North America",,https://bonside.com/,Bonside,https://www.crunchbase.com/organization/bonside
Seed Round - Growing Leap,https://www.crunchbase.com/funding_round/growing-leap-seed--42bf2fb4,Seed,,,,2023-05-17,1,1,Growing Leap is a SaaS service provider for financial digital operations.,"Financial Services, SaaS","Fengtai, Beijing, China, Asia",,https://www.growingleap.com/,Growing Leap,https://www.crunchbase.com/organization/growing-leap
Seed Round - Oxalus,https://www.crunchbase.com/funding_round/oxalus-seed--f5dd6435,Seed,1100000,USD,1100000,2023-05-25,2,2,NFT Aggregator Platform,"Cryptocurrency, Payments","Singapore, Central Region, Singapore, Asia",,https://oxalus.io/,Oxalus,https://www.crunchbase.com/organization/oxalus
Seed Round - eTasin.com,https://www.crunchbase.com/funding_round/etasin-com-seed--8ec02712,Seed,365000,USD,365000,2023-05-16,6,1,Turnkey Relocation and Storage Platform,"Home Services, InsurTech, Logistics, Professional Services, Service Industry","Istanbul, Istanbul, Turkey, Europe",,https://etasin.com,eTasin.com,https://www.crunchbase.com/organization/etasin-com
Pre Seed Round - Sparklehaze,https://www.crunchbase.com/funding_round/sparklehaze-pre-seed--ab857301,Pre-Seed,,,,2023-06-08,1,1,Sparklehaze is a premium hospitality industry provider of enterprise-grade in-room voice AI assistants.,"Consulting, Financial Services","Singapore, Central Region, Singapore, Asia",,https://www.sparklehaze.com,Sparklehaze,https://www.crunchbase.com/organization/sparklehaze
